txn_id,txn_number,store_id,txn_datetime,customer_id,payment_method,total_items,subtotal_amount,tax_amount,discount_amount,total_amount,created_at
197,TXN-000197,1,2025-05-12 11:35:17,154,EWALLET,13,234.71,18.65,1.79,251.57,2025-05-12 11:35:17
198,TXN-000198,1,2025-05-16 09:59:13,406,EWALLET,11,250.29,20.02,0.0,270.31,2025-05-16 09:59:13
199,TXN-000199,1,2025-03-27 08:56:45,,CARD,8,120.1,9.61,0.0,129.71,2025-03-27 08:56:45
200,TXN-000200,1,2025-03-30 10:32:36,79,EWALLET,12,118.96,8.9,7.69,120.17,2025-03-30 10:32:36
201,TXN-000201,1,2024-08-11 19:55:09,,CARD,11,184.95,14.43,4.6,194.78,2024-08-11 19:55:09
202,TXN-000202,1,2024-01-02 12:29:09,274,CARD,13,243.99,19.42,1.02,262.39,2024-01-02 12:29:09
203,TXN-000203,1,2024-02-01 17:50:08,125,CARD,4,138.46,11.08,0.0,149.54,2024-02-01 17:50:08
204,TXN-000204,1,2024-06-26 17:00:44,,CASH,5,75.4,6.03,0.0,81.43,2024-06-26 17:00:44
205,TXN-000205,1,2024-02-04 22:53:44,239,CARD,12,229.91,17.69,8.84,238.76,2024-02-04 22:53:44
206,TXN-000206,1,2024-10-24 10:41:56,254,CARD,10,50.97,4.09,0.0,55.06,2024-10-24 10:41:56
207,TXN-000207,1,2024-11-05 16:26:58,,CARD,2,73.44,5.88,0.0,79.32,2024-11-05 16:26:58
208,TXN-000208,1,2025-02-12 12:57:25,,CARD,3,111.94,8.68,3.46,117.16,2025-02-12 12:57:25
209,TXN-000209,1,2024-06-09 16:32:04,263,CASH,12,252.53,19.73,5.83,266.43,2024-06-09 16:32:04
210,TXN-000210,1,2025-01-27 17:26:30,60,CARD,7,135.3,10.83,0.0,146.13,2025-01-27 17:26:30
211,TXN-000211,1,2024-11-23 19:33:38,171,CARD,19,520.23,40.04,19.68,540.59,2024-11-23 19:33:38
212,TXN-000212,1,2024-12-15 10:27:34,,CASH,10,234.7,17.82,11.93,240.59,2024-12-15 10:27:34
213,TXN-000213,1,2024-09-08 17:14:41,,CARD,16,264.11,18.94,27.26,255.79,2024-09-08 17:14:41
214,TXN-000214,1,2024-06-17 20:19:25,439,CASH,13,209.41,16.74,0.0,226.15,2024-06-17 20:19:25
215,TXN-000215,1,2025-01-26 17:52:42,149,CARD,9,36.72,2.83,1.41,38.14,2025-01-26 17:52:42
216,TXN-000216,1,2025-03-12 09:04:16,58,EWALLET,7,153.62,12.29,0.0,165.91,2025-03-12 09:04:16
217,TXN-000217,1,2025-05-16 12:00:44,129,CARD,12,316.72,25.34,0.0,342.06,2025-05-16 12:00:44
218,TXN-000218,1,2025-01-15 11:50:43,,CARD,10,226.17,17.69,5.13,238.73,2025-01-15 11:50:43
219,TXN-000219,1,2025-05-19 19:44:02,,CARD,9,175.84,14.07,0.0,189.91,2025-05-19 19:44:02
220,TXN-000220,1,2025-02-10 19:59:37,,EWALLET,6,184.68,14.77,0.0,199.45,2025-02-10 19:59:37
221,TXN-000221,1,2025-05-28 18:06:49,447,CARD,2,26.06,2.09,0.0,28.15,2025-05-28 18:06:49
222,TXN-000222,1,2024-02-28 14:56:21,128,CARD,19,214.04,17.12,0.0,231.16,2024-02-28 14:56:21
223,TXN-000223,1,2024-11-15 13:48:20,420,CARD,4,36.98,2.96,0.0,39.94,2024-11-15 13:48:20
224,TXN-000224,1,2024-03-04 12:53:56,,CARD,3,116.31,9.31,0.0,125.62,2024-03-04 12:53:56
225,TXN-000225,1,2024-05-11 15:13:31,111,EWALLET,19,579.59,45.4,12.09,612.9,2024-05-11 15:13:31
226,TXN-000226,1,2024-05-25 15:40:29,,CARD,9,227.36,16.25,24.27,219.34,2024-05-25 15:40:29
227,TXN-000227,1,2024-11-16 18:38:51,,EWALLET,19,295.44,22.28,16.99,300.73,2024-11-16 18:38:51
