po_line_id,po_id,line_number,product_id,ordered_qty,received_qty,unit_cost,line_base_cost,discount_pct,tax_rate_pct,created_at,po_number,order_date,expected_delivery_date,actual_delivery_date,status,currency_code,store_id,created_by,supplier_id,supplier_name,supplier_code,product_sku,product_name,category
26,5,5,116,32,30,4.24,135.68,5.0,8.0,2024-01-08 16:00:00,PO-00005,2024-01-08,2024-01-22,2024-01-24,RECEIVED,SGD,1,system.auto,2,Evergreen Produce Importers,EVERGR-002,SKU-00116,FrostyFoods Fish Fillets,Frozen
27,5,6,43,19,18,34.28,651.32,3.0,8.0,2024-01-08 10:00:00,PO-00005,2024-01-08,2024-01-22,2024-01-24,RECEIVED,SGD,1,system.auto,2,Evergreen Produce Importers,EVERGR-002,SKU-00043,SeaHarvest Salmon Fillet,Seafood
28,5,7,119,96,90,2.69,258.24,5.0,8.0,2024-01-08 17:00:00,PO-00005,2024-01-08,2024-01-22,2024-01-24,RECEIVED,SGD,1,system.auto,2,Evergreen Produce Importers,EVERGR-002,SKU-00119,FrostyFoods Frozen Peas,Frozen
29,5,8,137,41,40,6.53,267.73,0.0,8.0,2024-01-08 11:00:00,PO-00005,2024-01-08,2024-01-22,2024-01-24,RECEIVED,SGD,1,system.auto,2,Evergreen Produce Importers,EVERGR-002,SKU-00137,GoldenLoaf Wholemeal Bread,Bakery
30,6,1,64,91,84,32.19,2929.29,3.0,8.0,2024-01-08 14:00:00,PO-00006,2024-01-08,2024-01-18,2024-01-18,RECEIVED,SGD,1,inventory.bot,5,Sunrise Dairy Supplies,SUNRIS-005,SKU-00064,SeaHarvest Salmon Fillet,Seafood
31,6,2,125,40,39,5.95,238.0,0.0,8.0,2024-01-08 12:00:00,PO-00006,2024-01-08,2024-01-18,2024-01-18,RECEIVED,SGD,1,inventory.bot,5,Sunrise Dairy Supplies,SUNRIS-005,SKU-00125,GreenFields Apples,Produce
32,6,3,97,26,25,3.15,81.9,3.0,8.0,2024-01-08 09:00:00,PO-00006,2024-01-08,2024-01-18,2024-01-18,RECEIVED,SGD,1,inventory.bot,5,Sunrise Dairy Supplies,SUNRIS-005,SKU-00097,GreenFields Apples,Produce
33,6,4,46,172,169,18.61,3200.92,0.0,8.0,2024-01-08 12:00:00,PO-00006,2024-01-08,2024-01-18,2024-01-18,RECEIVED,SGD,1,inventory.bot,5,Sunrise Dairy Supplies,SUNRIS-005,SKU-00046,ThirstQuench Apple Juice,Beverages
34,6,5,105,77,76,7.11,547.47,2.0,8.0,2024-01-08 09:00:00,PO-00006,2024-01-08,2024-01-18,2024-01-18,RECEIVED,SGD,1,inventory.bot,5,Sunrise Dairy Supplies,SUNRIS-005,SKU-00105,FrostyFoods Ice Cream,Frozen
35,6,6,113,37,36,8.75,323.75,0.0,8.0,2024-01-08 14:00:00,PO-00006,2024-01-08,2024-01-18,2024-01-18,RECEIVED,SGD,1,inventory.bot,5,Sunrise Dairy Supplies,SUNRIS-005,SKU-00113,SeaHarvest Salmon Fillet,Seafood
36,6,7,40,36,34,1.77,63.72,2.0,8.0,2024-01-08 09:00:00,PO-00006,2024-01-08,2024-01-18,2024-01-18,RECEIVED,SGD,1,inventory.bot,5,Sunrise Dairy Supplies,SUNRIS-005,SKU-00040,MeadowFresh Butter,Dairy
37,7,1,58,80,78,12.21,976.8,5.0,8.0,2024-01-09 15:00:00,PO-00007,2024-01-09,2024-01-17,2024-01-17,RECEIVED,SGD,1,system.auto,9,Fresh & Crisp Snacks,FRESHC-009,SKU-00058,GardenFresh Tomatoes,Produce
38,7,2,17,72,69,10.34,744.48,0.0,8.0,2024-01-09 12:00:00,PO-00007,2024-01-09,2024-01-17,2024-01-17,RECEIVED,SGD,1,system.auto,9,Fresh & Crisp Snacks,FRESHC-009,SKU-00017,ButcherSelect Chicken Breast,Meat
39,7,3,104,95,93,5.6,532.0,5.0,8.0,2024-01-09 17:00:00,PO-00007,2024-01-09,2024-01-17,2024-01-17,RECEIVED,SGD,1,system.auto,9,Fresh & Crisp Snacks,FRESHC-009,SKU-00104,ThirstQuench Apple Juice,Beverages
40,8,1,130,73,66,20.59,1503.07,2.0,8.0,2024-01-15 17:00:00,PO-00008,2024-01-15,2024-01-22,2024-01-21,RECEIVED,SGD,1,procurement.mgr,1,Lion City Foods Pte Ltd,LIONCI-001,SKU-00130,ButcherSelect Minced Beef,Meat
41,8,2,54,17,16,14.71,250.07,5.0,8.0,2024-01-15 10:00:00,PO-00008,2024-01-15,2024-01-22,2024-01-21,RECEIVED,SGD,1,procurement.mgr,1,Lion City Foods Pte Ltd,LIONCI-001,SKU-00054,ButcherSelect Chicken Breast,Meat
42,8,3,49,124,117,4.61,571.64,0.0,8.0,2024-01-15 17:00:00,PO-00008,2024-01-15,2024-01-22,2024-01-21,RECEIVED,SGD,1,procurement.mgr,1,Lion City Foods Pte Ltd,LIONCI-001,SKU-00049,HappySnacks Potato Chips,Snacks
43,9,1,104,131,128,5.48,717.88,5.0,8.0,2024-01-16 09:00:00,PO-00009,2024-01-16,2024-01-19,2024-01-21,RECEIVED,SGD,1,store.manager,9,Fresh & Crisp Snacks,FRESHC-009,SKU-00104,ThirstQuench Apple Juice,Beverages
44,9,2,17,57,52,9.79,558.03,0.0,8.0,2024-01-16 10:00:00,PO-00009,2024-01-16,2024-01-19,2024-01-21,RECEIVED,SGD,1,store.manager,9,Fresh & Crisp Snacks,FRESHC-009,SKU-00017,ButcherSelect Chicken Breast,Meat
45,9,3,87,79,79,1.19,94.01,0.0,8.0,2024-01-16 10:00:00,PO-00009,2024-01-16,2024-01-19,2024-01-21,RECEIVED,SGD,1,store.manager,9,Fresh & Crisp Snacks,FRESHC-009,SKU-00087,DailyBake Muffins,Bakery
46,9,4,58,28,27,13.23,370.44,0.0,8.0,2024-01-16 12:00:00,PO-00009,2024-01-16,2024-01-19,2024-01-21,RECEIVED,SGD,1,store.manager,9,Fresh & Crisp Snacks,FRESHC-009,SKU-00058,GardenFresh Tomatoes,Produce
47,9,5,115,45,41,1.41,63.45,0.0,8.0,2024-01-16 13:00:00,PO-00009,2024-01-16,2024-01-19,2024-01-21,RECEIVED,SGD,1,store.manager,9,Fresh & Crisp Snacks,FRESHC-009,SKU-00115,GoldenLoaf Muffins,Bakery
48,9,6,8,54,51,8.64,466.56,3.0,8.0,2024-01-16 15:00:00,PO-00009,2024-01-16,2024-01-19,2024-01-21,RECEIVED,SGD,1,store.manager,9,Fresh & Crisp Snacks,FRESHC-009,SKU-00008,PureGlow Toothpaste,Personal Care
49,9,7,28,104,94,0.91,94.64,0.0,8.0,2024-01-16 13:00:00,PO-00009,2024-01-16,2024-01-19,2024-01-21,RECEIVED,SGD,1,store.manager,9,Fresh & Crisp Snacks,FRESHC-009,SKU-00028,CitrusBurst Cola,Beverages
50,9,8,63,32,32,3.84,122.88,0.0,8.0,2024-01-16 13:00:00,PO-00009,2024-01-16,2024-01-19,2024-01-21,RECEIVED,SGD,1,store.manager,9,Fresh & Crisp Snacks,FRESHC-009,SKU-00063,CleanHome Trash Bags,Household
51,10,1,115,74,67,1.46,108.04,0.0,8.0,2024-01-16 16:00:00,PO-00010,2024-01-16,2024-01-30,2024-02-01,RECEIVED,SGD,1,store.manager,9,Fresh & Crisp Snacks,FRESHC-009,SKU-00115,GoldenLoaf Muffins,Bakery
52,10,2,65,52,48,13.25,689.0,5.0,8.0,2024-01-16 12:00:00,PO-00010,2024-01-16,2024-01-30,2024-02-01,RECEIVED,SGD,1,store.manager,9,Fresh & Crisp Snacks,FRESHC-009,SKU-00065,ButcherSelect Pork Chops,Meat
53,10,3,63,98,93,4.0,392.0,0.0,8.0,2024-01-16 15:00:00,PO-00010,2024-01-16,2024-01-30,2024-02-01,RECEIVED,SGD,1,store.manager,9,Fresh & Crisp Snacks,FRESHC-009,SKU-00063,CleanHome Trash Bags,Household
54,10,4,58,64,60,12.96,829.44,0.0,8.0,2024-01-16 17:00:00,PO-00010,2024-01-16,2024-01-30,2024-02-01,RECEIVED,SGD,1,store.manager,9,Fresh & Crisp Snacks,FRESHC-009,SKU-00058,GardenFresh Tomatoes,Produce
55,10,5,24,151,140,8.63,1303.13,0.0,8.0,2024-01-16 09:00:00,PO-00010,2024-01-16,2024-01-30,2024-02-01,RECEIVED,SGD,1,store.manager,9,Fresh & Crisp Snacks,FRESHC-009,SKU-00024,CoolSip Green Tea,Beverages
56,10,6,131,71,66,5.78,410.38,5.0,8.0,2024-01-16 10:00:00,PO-00010,2024-01-16,2024-01-30,2024-02-01,RECEIVED,SGD,1,store.manager,9,Fresh & Crisp Snacks,FRESHC-009,SKU-00131,ArcticFresh Frozen Pizza,Frozen
57,11,1,113,53,53,8.04,426.12,0.0,8.0,2024-01-22 15:00:00,PO-00011,2024-01-22,2024-01-27,2024-01-26,RECEIVED,SGD,1,store.manager,5,Sunrise Dairy Supplies,SUNRIS-005,SKU-00113,SeaHarvest Salmon Fillet,Seafood
58,11,2,122,62,58,17.46,1082.52,3.0,8.0,2024-01-22 10:00:00,PO-00011,2024-01-22,2024-01-27,2024-01-26,RECEIVED,SGD,1,store.manager,5,Sunrise Dairy Supplies,SUNRIS-005,SKU-00122,PureGlow Shampoo,Personal Care
59,11,3,97,87,81,2.98,259.26,0.0,8.0,2024-01-22 11:00:00,PO-00011,2024-01-22,2024-01-27,2024-01-26,RECEIVED,SGD,1,store.manager,5,Sunrise Dairy Supplies,SUNRIS-005,SKU-00097,GreenFields Apples,Produce
60,11,4,26,44,40,4.28,188.32,3.0,8.0,2024-01-22 14:00:00,PO-00011,2024-01-22,2024-01-27,2024-01-26,RECEIVED,SGD,1,store.manager,5,Sunrise Dairy Supplies,SUNRIS-005,SKU-00026,FarmHouse Milk,Dairy
61,12,1,64,26,24,31.18,810.68,0.0,8.0,2024-01-22 15:00:00,PO-00012,2024-01-22,2024-01-28,2024-01-31,RECEIVED,SGD,1,inventory.bot,5,Sunrise Dairy Supplies,SUNRIS-005,SKU-00064,SeaHarvest Salmon Fillet,Seafood
62,12,2,133,31,30,9.62,298.22,0.0,8.0,2024-01-22 13:00:00,PO-00012,2024-01-22,2024-01-28,2024-01-31,RECEIVED,SGD,1,inventory.bot,5,Sunrise Dairy Supplies,SUNRIS-005,SKU-00133,GoldenLoaf White Bread,Bakery
63,12,3,97,110,100,3.05,335.5,0.0,8.0,2024-01-22 10:00:00,PO-00012,2024-01-22,2024-01-28,2024-01-31,RECEIVED,SGD,1,inventory.bot,5,Sunrise Dairy Supplies,SUNRIS-005,SKU-00097,GreenFields Apples,Produce
64,13,1,139,132,132,9.82,1296.24,0.0,8.0,2024-01-22 09:00:00,PO-00013,2024-01-22,2024-02-01,2024-01-31,RECEIVED,SGD,1,store.manager,6,Blue Ocean Seafood Traders,BLUEOC-006,SKU-00139,MilkyWay Milk,Dairy
65,13,2,35,54,51,14.22,767.88,2.0,8.0,2024-01-22 16:00:00,PO-00013,2024-01-22,2024-02-01,2024-01-31,RECEIVED,SGD,1,store.manager,6,Blue Ocean Seafood Traders,BLUEOC-006,SKU-00035,PureGlow Hand Soap,Personal Care
66,13,3,89,72,70,15.6,1123.2,0.0,8.0,2024-01-22 10:00:00,PO-00013,2024-01-22,2024-02-01,2024-01-31,RECEIVED,SGD,1,store.manager,6,Blue Ocean Seafood Traders,BLUEOC-006,SKU-00089,GardenFresh Tomatoes,Produce
67,13,4,36,70,67,16.26,1138.2,5.0,8.0,2024-01-22 16:00:00,PO-00013,2024-01-22,2024-02-01,2024-01-31,RECEIVED,SGD,1,store.manager,6,Blue Ocean Seafood Traders,BLUEOC-006,SKU-00036,MeadowFresh Cheese,Dairy
68,13,5,15,108,99,16.9,1825.2,3.0,8.0,2024-01-22 17:00:00,PO-00013,2024-01-22,2024-02-01,2024-01-31,RECEIVED,SGD,1,store.manager,6,Blue Ocean Seafood Traders,BLUEOC-006,SKU-00015,CleanHome Trash Bags,Household
69,13,6,20,53,52,12.5,662.5,3.0,8.0,2024-01-22 08:00:00,PO-00013,2024-01-22,2024-02-01,2024-01-31,RECEIVED,SGD,1,store.manager,6,Blue Ocean Seafood Traders,BLUEOC-006,SKU-00020,FarmHouse Yogurt,Dairy
70,13,7,112,51,49,15.67,799.17,0.0,8.0,2024-01-22 13:00:00,PO-00013,2024-01-22,2024-02-01,2024-01-31,RECEIVED,SGD,1,store.manager,6,Blue Ocean Seafood Traders,BLUEOC-006,SKU-00112,CleanHome Laundry Detergent,Household
71,13,8,39,48,45,1.62,77.76,0.0,8.0,2024-01-22 09:00:00,PO-00013,2024-01-22,2024-02-01,2024-01-31,RECEIVED,SGD,1,store.manager,6,Blue Ocean Seafood Traders,BLUEOC-006,SKU-00039,FrostyFoods Ice Cream,Frozen
72,14,1,137,99,96,6.99,692.01,3.0,8.0,2024-01-23 13:00:00,PO-00014,2024-01-23,2024-02-05,2024-02-05,SENT,SGD,1,procurement.mgr,2,Evergreen Produce Importers,EVERGR-002,SKU-00137,GoldenLoaf Wholemeal Bread,Bakery
73,14,2,62,30,29,3.4,102.0,0.0,8.0,2024-01-23 09:00:00,PO-00014,2024-01-23,2024-02-05,2024-02-05,SENT,SGD,1,procurement.mgr,2,Evergreen Produce Importers,EVERGR-002,SKU-00062,SparklePro Trash Bags,Household
74,14,3,41,31,31,9.85,305.35,3.0,8.0,2024-01-23 12:00:00,PO-00014,2024-01-23,2024-02-05,2024-02-05,SENT,SGD,1,procurement.mgr,2,Evergreen Produce Importers,EVERGR-002,SKU-00041,SparklePro Paper Towels,Household
75,14,4,67,79,75,15.35,1212.65,3.0,8.0,2024-01-23 14:00:00,PO-00014,2024-01-23,2024-02-05,2024-02-05,SENT,SGD,1,procurement.mgr,2,Evergreen Produce Importers,EVERGR-002,SKU-00067,SeaHarvest Prawns,Seafood
76,14,5,119,99,93,2.82,279.18,2.0,8.0,2024-01-23 16:00:00,PO-00014,2024-01-23,2024-02-05,2024-02-05,SENT,SGD,1,procurement.mgr,2,Evergreen Produce Importers,EVERGR-002,SKU-00119,FrostyFoods Frozen Peas,Frozen
77,14,6,144,67,64,20.09,1346.03,0.0,8.0,2024-01-23 15:00:00,PO-00014,2024-01-23,2024-02-05,2024-02-05,SENT,SGD,1,procurement.mgr,2,Evergreen Produce Importers,EVERGR-002,SKU-00144,MeadowFresh Yogurt,Dairy
78,14,7,11,82,76,9.43,773.26,5.0,8.0,2024-01-23 14:00:00,PO-00014,2024-01-23,2024-02-05,2024-02-05,SENT,SGD,1,procurement.mgr,2,Evergreen Produce Importers,EVERGR-002,SKU-00011,CleanHome Paper Towels,Household
79,14,8,114,58,57,18.34,1063.72,5.0,8.0,2024-01-23 08:00:00,PO-00014,2024-01-23,2024-02-05,2024-02-05,SENT,SGD,1,procurement.mgr,2,Evergreen Produce Importers,EVERGR-002,SKU-00114,FrostyFoods Frozen Pizza,Frozen
80,15,1,68,62,59,12.61,781.82,0.0,8.0,2024-01-29 15:00:00,PO-00015,2024-01-29,2024-02-06,2024-02-07,RECEIVED,SGD,1,inventory.bot,4,Golden Harvest Grocers,GOLDEN-004,SKU-00068,PrimeChoice Chicken Breast,Meat
81,15,2,106,71,66,3.59,254.89,0.0,8.0,2024-01-29 08:00:00,PO-00015,2024-01-29,2024-02-06,2024-02-07,RECEIVED,SGD,1,inventory.bot,4,Golden Harvest Grocers,GOLDEN-004,SKU-00106,ThirstQuench Green Tea,Beverages
82,15,3,37,67,67,25.39,1701.13,2.0,8.0,2024-01-29 11:00:00,PO-00015,2024-01-29,2024-02-06,2024-02-07,RECEIVED,SGD,1,inventory.bot,4,Golden Harvest Grocers,GOLDEN-004,SKU-00037,BlueOcean Salmon Fillet,Seafood
83,15,4,48,60,59,15.85,951.0,5.0,8.0,2024-01-29 13:00:00,PO-00015,2024-01-29,2024-02-06,2024-02-07,RECEIVED,SGD,1,inventory.bot,4,Golden Harvest Grocers,GOLDEN-004,SKU-00048,SparklePro Laundry Detergent,Household
84,15,5,45,98,96,1.13,110.74,3.0,8.0,2024-01-29 15:00:00,PO-00015,2024-01-29,2024-02-06,2024-02-07,RECEIVED,SGD,1,inventory.bot,4,Golden Harvest Grocers,GOLDEN-004,SKU-00045,HappySnacks Potato Chips,Snacks
85,15,6,6,83,82,15.3,1269.9,0.0,8.0,2024-01-29 14:00:00,PO-00015,2024-01-29,2024-02-06,2024-02-07,RECEIVED,SGD,1,inventory.bot,4,Golden Harvest Grocers,GOLDEN-004,SKU-00006,GoldenLoaf White Bread,Bakery
86,16,1,49,187,168,4.38,819.06,0.0,8.0,2024-01-29 12:00:00,PO-00016,2024-01-29,2024-02-01,2024-02-02,CLOSED,SGD,1,inventory.bot,1,Lion City Foods Pte Ltd,LIONCI-001,SKU-00049,HappySnacks Potato Chips,Snacks
87,16,2,79,133,130,5.68,755.44,2.0,8.0,2024-01-29 08:00:00,PO-00016,2024-01-29,2024-02-01,2024-02-02,CLOSED,SGD,1,inventory.bot,1,Lion City Foods Pte Ltd,LIONCI-001,SKU-00079,CitrusBurst Green Tea,Beverages
88,16,3,70,195,186,19.49,3800.55,0.0,8.0,2024-01-29 09:00:00,PO-00016,2024-01-29,2024-02-01,2024-02-02,CLOSED,SGD,1,inventory.bot,1,Lion City Foods Pte Ltd,LIONCI-001,SKU-00070,HappySnacks Trail Mix,Snacks
89,16,4,9,64,61,18.17,1162.88,0.0,8.0,2024-01-29 17:00:00,PO-00016,2024-01-29,2024-02-01,2024-02-02,CLOSED,SGD,1,inventory.bot,1,Lion City Foods Pte Ltd,LIONCI-001,SKU-00009,PrimeChoice Pork Chops,Meat
90,17,1,35,40,37,14.06,562.4,2.0,8.0,2024-01-29 16:00:00,PO-00017,2024-01-29,2024-02-06,2024-02-07,SENT,SGD,1,store.manager,6,Blue Ocean Seafood Traders,BLUEOC-006,SKU-00035,PureGlow Hand Soap,Personal Care
91,17,2,20,35,33,12.39,433.65,0.0,8.0,2024-01-29 13:00:00,PO-00017,2024-01-29,2024-02-06,2024-02-07,SENT,SGD,1,store.manager,6,Blue Ocean Seafood Traders,BLUEOC-006,SKU-00020,FarmHouse Yogurt,Dairy
92,17,3,91,75,73,15.99,1199.25,0.0,8.0,2024-01-29 17:00:00,PO-00017,2024-01-29,2024-02-06,2024-02-07,SENT,SGD,1,store.manager,6,Blue Ocean Seafood Traders,BLUEOC-006,SKU-00091,PrimeChoice Chicken Breast,Meat
93,18,1,76,80,76,24.68,1974.4,0.0,8.0,2024-01-30 15:00:00,PO-00018,2024-01-30,2024-02-08,2024-02-11,RECEIVED,SGD,1,store.manager,7,Prime Choice Meats,PRIMEC-007,SKU-00076,PrimeChoice Sausages,Meat
94,18,2,53,44,41,9.2,404.8,2.0,8.0,2024-01-30 17:00:00,PO-00018,2024-01-30,2024-02-08,2024-02-11,RECEIVED,SGD,1,store.manager,7,Prime Choice Meats,PRIMEC-007,SKU-00053,CitrusBurst Orange Juice,Beverages
95,18,3,44,128,125,11.93,1527.04,5.0,8.0,2024-01-30 08:00:00,PO-00018,2024-01-30,2024-02-08,2024-02-11,RECEIVED,SGD,1,store.manager,7,Prime Choice Meats,PRIMEC-007,SKU-00044,CrunchyBite Potato Chips,Snacks
96,18,4,21,74,70,29.15,2157.1,3.0,8.0,2024-01-30 17:00:00,PO-00018,2024-01-30,2024-02-08,2024-02-11,RECEIVED,SGD,1,store.manager,7,Prime Choice Meats,PRIMEC-007,SKU-00021,SeaHarvest Prawns,Seafood
97,19,1,144,35,34,20.21,707.35,0.0,8.0,2024-02-05 08:00:00,PO-00019,2024-02-05,2024-02-16,2024-02-19,CLOSED,SGD,1,procurement.mgr,2,Evergreen Produce Importers,EVERGR-002,SKU-00144,MeadowFresh Yogurt,Dairy
98,19,2,119,76,71,2.68,203.68,5.0,8.0,2024-02-05 11:00:00,PO-00019,2024-02-05,2024-02-16,2024-02-19,CLOSED,SGD,1,procurement.mgr,2,Evergreen Produce Importers,EVERGR-002,SKU-00119,FrostyFoods Frozen Peas,Frozen
99,19,3,43,36,34,33.41,1202.76,2.0,8.0,2024-02-05 08:00:00,PO-00019,2024-02-05,2024-02-16,2024-02-19,CLOSED,SGD,1,procurement.mgr,2,Evergreen Produce Importers,EVERGR-002,SKU-00043,SeaHarvest Salmon Fillet,Seafood
100,20,1,36,76,70,16.63,1263.88,5.0,8.0,2024-02-05 12:00:00,PO-00020,2024-02-05,2024-02-10,2024-02-12,SENT,SGD,1,store.manager,6,Blue Ocean Seafood Traders,BLUEOC-006,SKU-00036,MeadowFresh Cheese,Dairy
101,20,2,112,143,138,15.49,2215.07,0.0,8.0,2024-02-05 12:00:00,PO-00020,2024-02-05,2024-02-10,2024-02-12,SENT,SGD,1,store.manager,6,Blue Ocean Seafood Traders,BLUEOC-006,SKU-00112,CleanHome Laundry Detergent,Household
