txn_line_id,txn_id,txn_number,line_number,product_id,product_sku,product_name,category,base_unit_price,sale_unit_price,quantity,line_base_amount,line_sale_amount,line_discount_amount,tax_rate_pct,tax_amount,promotion_code,created_at
28,7,TXN-000007,2,112,SKU-00112,CleanHome Laundry Detergent,Household,26.45,26.45,2,52.9,52.9,0.0,8.0,4.23,,2024-10-17 19:55:05
29,7,TXN-000007,3,137,SKU-00137,GoldenLoaf Wholemeal Bread,Bakery,14.84,14.84,2,29.68,29.68,0.0,8.0,2.37,,2024-10-17 19:55:05
30,7,TXN-000007,4,143,SKU-00143,PureGlow Toothpaste,Personal Care,17.09,17.09,1,17.09,17.09,0.0,8.0,1.37,,2024-10-17 19:55:05
31,7,TXN-000007,5,33,SKU-00033,GoldenLoaf White Bread,Bakery,21.53,21.53,1,21.53,21.53,0.0,8.0,1.72,,2024-10-17 19:55:05
32,7,TXN-000007,6,150,SKU-00150,HarmonyCare Body Wash,Personal Care,36.65,34.82,1,36.65,34.82,1.83,8.0,2.79,BULK5,2024-10-17 19:55:05
33,8,TXN-000008,1,139,SKU-00139,MilkyWay Milk,Dairy,14.95,14.2,3,44.85,42.6,2.25,8.0,3.41,BULK5,2024-02-28 15:54:46
34,8,TXN-000008,2,141,SKU-00141,HappySnacks Potato Chips,Snacks,33.49,33.49,1,33.49,33.49,0.0,8.0,2.68,,2024-02-28 15:54:46
35,8,TXN-000008,3,144,SKU-00144,MeadowFresh Yogurt,Dairy,23.78,23.78,2,47.56,47.56,0.0,8.0,3.8,,2024-02-28 15:54:46
36,8,TXN-000008,4,33,SKU-00033,GoldenLoaf White Bread,Bakery,21.53,21.53,2,43.06,43.06,0.0,8.0,3.44,,2024-02-28 15:54:46
37,8,TXN-000008,5,34,SKU-00034,HappySnacks Potato Chips,Snacks,18.55,18.55,1,18.55,18.55,0.0,8.0,1.48,,2024-02-28 15:54:46
38,8,TXN-000008,6,140,SKU-00140,BlueOcean Squid Rings,Seafood,38.31,38.31,1,38.31,38.31,0.0,8.0,3.06,,2024-02-28 15:54:46
39,9,TXN-000009,1,6,SKU-00006,GoldenLoaf White Bread,Bakery,26.17,26.17,3,78.51,78.51,0.0,8.0,6.28,,2024-02-02 14:08:02
40,9,TXN-000009,2,4,SKU-00004,GoldenLoaf Croissant,Bakery,34.9,34.9,2,69.8,69.8,0.0,8.0,5.58,,2024-02-02 14:08:02
41,9,TXN-000009,3,150,SKU-00150,HarmonyCare Body Wash,Personal Care,36.65,36.65,1,36.65,36.65,0.0,8.0,2.93,,2024-02-02 14:08:02
42,9,TXN-000009,4,141,SKU-00141,HappySnacks Potato Chips,Snacks,33.49,31.82,4,133.96,127.28,6.68,8.0,10.18,BULK5,2024-02-02 14:08:02
43,9,TXN-000009,5,33,SKU-00033,GoldenLoaf White Bread,Bakery,21.53,20.45,2,43.06,40.9,2.16,8.0,3.27,BULK5,2024-02-02 14:08:02
44,9,TXN-000009,6,24,SKU-00024,CoolSip Green Tea,Beverages,19.13,18.17,4,76.52,72.68,3.84,8.0,5.81,BULK5,2024-02-02 14:08:02
45,9,TXN-000009,7,44,SKU-00044,CrunchyBite Potato Chips,Snacks,16.23,16.23,2,32.46,32.46,0.0,8.0,2.6,,2024-02-02 14:08:02
46,10,TXN-000010,1,54,SKU-00054,ButcherSelect Chicken Breast,Meat,33.21,33.21,2,66.42,66.42,0.0,8.0,5.31,,2024-04-08 12:39:41
47,10,TXN-000010,2,49,SKU-00049,HappySnacks Potato Chips,Snacks,5.85,5.85,3,17.55,17.55,0.0,8.0,1.4,,2024-04-08 12:39:41
48,10,TXN-000010,3,47,SKU-00047,SeaHarvest Fish Fingers,Seafood,34.55,34.55,1,34.55,34.55,0.0,8.0,2.76,,2024-04-08 12:39:41
49,10,TXN-000010,4,146,SKU-00146,SnackTime Trail Mix,Snacks,11.07,10.52,4,44.28,42.08,2.2,8.0,3.37,BULK5,2024-04-08 12:39:41
50,10,TXN-000010,5,95,SKU-00095,FarmHouse Yogurt,Dairy,6.68,6.68,3,20.04,20.04,0.0,8.0,1.6,,2024-04-08 12:39:41
51,10,TXN-000010,6,53,SKU-00053,CitrusBurst Orange Juice,Beverages,18.99,18.99,3,56.97,56.97,0.0,8.0,4.56,,2024-04-08 12:39:41
52,10,TXN-000010,7,32,SKU-00032,GoldenLoaf Croissant,Bakery,44.22,44.22,1,44.22,44.22,0.0,8.0,3.54,,2024-04-08 12:39:41
53,11,TXN-000011,1,80,SKU-00080,CrunchyBite Potato Chips,Snacks,4.51,4.28,5,22.55,21.4,1.15,8.0,1.71,BULK5,2024-10-29 16:27:33
54,11,TXN-000011,2,52,SKU-00052,SnackTime Potato Chips,Snacks,32.98,32.98,4,131.92,131.92,0.0,8.0,10.55,,2024-10-29 16:27:33
55,11,TXN-000011,3,62,SKU-00062,SparklePro Trash Bags,Household,4.42,4.42,2,8.84,8.84,0.0,8.0,0.71,,2024-10-29 16:27:33
56,11,TXN-000011,4,38,SKU-00038,DailyBake Croissant,Bakery,21.83,20.74,2,43.66,41.48,2.18,8.0,3.32,BULK5,2024-10-29 16:27:33
57,11,TXN-000011,5,56,SKU-00056,SnackTime Biscuits,Snacks,11.4,10.83,3,34.2,32.49,1.71,8.0,2.6,BULK5,2024-10-29 16:27:33
58,11,TXN-000011,6,10,SKU-00010,DailyBake Muffins,Bakery,28.73,27.29,1,28.73,27.29,1.44,8.0,2.18,BULK5,2024-10-29 16:27:33
59,12,TXN-000012,1,9,SKU-00009,PrimeChoice Pork Chops,Meat,29.63,29.63,1,29.63,29.63,0.0,8.0,2.37,,2024-03-19 14:58:23
60,12,TXN-000012,2,134,SKU-00134,HarmonyCare Body Wash,Personal Care,8.59,8.59,2,17.18,17.18,0.0,8.0,1.37,,2024-03-19 14:58:23
61,12,TXN-000012,3,125,SKU-00125,GreenFields Apples,Produce,9.57,9.57,1,9.57,9.57,0.0,8.0,0.77,,2024-03-19 14:58:23
62,12,TXN-000012,4,43,SKU-00043,SeaHarvest Salmon Fillet,Seafood,64.95,61.7,1,64.95,61.7,3.25,8.0,4.94,BULK5,2024-03-19 14:58:23
63,12,TXN-000012,5,99,SKU-00099,FarmHouse Butter,Dairy,32.85,32.85,3,98.55,98.55,0.0,8.0,7.88,,2024-03-19 14:58:23
64,12,TXN-000012,6,52,SKU-00052,SnackTime Potato Chips,Snacks,32.98,32.98,2,65.96,65.96,0.0,8.0,5.28,,2024-03-19 14:58:23
65,12,TXN-000012,7,19,SKU-00019,FarmHouse Butter,Dairy,10.15,9.64,3,30.45,28.92,1.53,8.0,2.31,BULK5,2024-03-19 14:58:23
66,13,TXN-000013,1,2,SKU-00002,HappySnacks Chocolate Bar,Snacks,24.41,24.41,4,97.64,97.64,0.0,8.0,7.81,,2024-02-06 21:59:30
67,13,TXN-000013,2,31,SKU-00031,FrostyFoods Frozen Peas,Frozen,28.96,28.96,2,57.92,57.92,0.0,8.0,4.63,,2024-02-06 21:59:30
68,14,TXN-000014,1,91,SKU-00091,PrimeChoice Chicken Breast,Meat,28.49,27.07,1,28.49,27.07,1.42,8.0,2.17,BULK5,2024-03-19 19:32:23
69,14,TXN-000014,2,14,SKU-00014,CleanHome Paper Towels,Household,29.38,27.91,1,29.38,27.91,1.47,8.0,2.23,BULK5,2024-03-19 19:32:23
70,14,TXN-000014,3,44,SKU-00044,CrunchyBite Potato Chips,Snacks,16.23,16.23,2,32.46,32.46,0.0,8.0,2.6,,2024-03-19 19:32:23
71,14,TXN-000014,4,148,SKU-00148,SnackTime Trail Mix,Snacks,2.22,2.22,4,8.88,8.88,0.0,8.0,0.71,,2024-03-19 19:32:23
72,14,TXN-000014,5,87,SKU-00087,DailyBake Muffins,Bakery,1.89,1.89,1,1.89,1.89,0.0,8.0,0.15,,2024-03-19 19:32:23
73,14,TXN-000014,6,85,SKU-00085,PureGlow Body Wash,Personal Care,29.36,29.36,2,58.72,58.72,0.0,8.0,4.7,,2024-03-19 19:32:23
74,15,TXN-000015,1,67,SKU-00067,SeaHarvest Prawns,Seafood,23.9,23.9,3,71.7,71.7,0.0,8.0,5.74,,2025-01-27 17:37:29
75,15,TXN-000015,2,95,SKU-00095,FarmHouse Yogurt,Dairy,6.68,6.68,2,13.36,13.36,0.0,8.0,1.07,,2025-01-27 17:37:29
76,16,TXN-000016,1,121,SKU-00121,GardenFresh Apples,Produce,7.48,7.48,1,7.48,7.48,0.0,8.0,0.6,,2025-01-09 17:14:57
77,16,TXN-000016,2,86,SKU-00086,HarmonyCare Toothpaste,Personal Care,6.05,6.05,1,6.05,6.05,0.0,8.0,0.48,,2025-01-09 17:14:57
78,17,TXN-000017,1,17,SKU-00017,ButcherSelect Chicken Breast,Meat,18.3,18.3,1,18.3,18.3,0.0,8.0,1.46,,2025-03-12 12:31:45
79,17,TXN-000017,2,90,SKU-00090,PrimeChoice Minced Beef,Meat,22.17,22.17,2,44.34,44.34,0.0,8.0,3.55,,2025-03-12 12:31:45
80,17,TXN-000017,3,32,SKU-00032,GoldenLoaf Croissant,Bakery,44.22,44.22,1,44.22,44.22,0.0,8.0,3.54,,2025-03-12 12:31:45
81,18,TXN-000018,1,134,SKU-00134,HarmonyCare Body Wash,Personal Care,8.59,8.59,2,17.18,17.18,0.0,8.0,1.37,,2024-01-31 18:03:10
82,18,TXN-000018,2,92,SKU-00092,HarmonyCare Shampoo,Personal Care,4.93,4.68,1,4.93,4.68,0.25,8.0,0.37,BULK5,2024-01-31 18:03:10
83,19,TXN-000019,1,94,SKU-00094,PureGlow Toothpaste,Personal Care,26.41,26.41,2,52.82,52.82,0.0,8.0,4.23,,2025-04-24 09:59:23
84,19,TXN-000019,2,20,SKU-00020,FarmHouse Yogurt,Dairy,26.18,26.18,1,26.18,26.18,0.0,8.0,2.09,,2025-04-24 09:59:23
85,19,TXN-000019,3,133,SKU-00133,GoldenLoaf White Bread,Bakery,21.12,21.12,2,42.24,42.24,0.0,8.0,3.38,,2025-04-24 09:59:23
86,19,TXN-000019,4,111,SKU-00111,HarmonyCare Body Wash,Personal Care,10.39,10.39,1,10.39,10.39,0.0,8.0,0.83,,2025-04-24 09:59:23
87,19,TXN-000019,5,63,SKU-00063,CleanHome Trash Bags,Household,7.17,7.17,2,14.34,14.34,0.0,8.0,1.15,,2025-04-24 09:59:23
88,20,TXN-000020,1,100,SKU-00100,SnackTime Biscuits,Snacks,29.48,29.48,1,29.48,29.48,0.0,8.0,2.36,,2024-02-03 18:01:50
89,20,TXN-000020,2,82,SKU-00082,CrunchyBite Trail Mix,Snacks,3.36,3.36,1,3.36,3.36,0.0,8.0,0.27,,2024-02-03 18:01:50
90,20,TXN-000020,3,132,SKU-00132,FarmHouse Milk,Dairy,27.3,25.93,2,54.6,51.86,2.74,8.0,4.15,WEEKEND5,2024-02-03 18:01:50
91,20,TXN-000020,4,75,SKU-00075,FrostyFoods Frozen Pizza,Frozen,21.35,20.28,1,21.35,20.28,1.07,8.0,1.62,WEEKEND5,2024-02-03 18:01:50
92,20,TXN-000020,5,142,SKU-00142,FarmHouse Cheese,Dairy,4.02,3.42,2,8.04,6.84,1.2,8.0,0.55,MEMBER15,2024-02-03 18:01:50
93,20,TXN-000020,6,55,SKU-00055,PrimeChoice Sausages,Meat,45.01,45.01,1,45.01,45.01,0.0,8.0,3.6,,2024-02-03 18:01:50
94,20,TXN-000020,7,145,SKU-00145,GreenFields Tomatoes,Produce,1.24,1.18,2,2.48,2.36,0.12,8.0,0.19,WEEKEND5,2024-02-03 18:01:50
95,20,TXN-000020,8,64,SKU-00064,SeaHarvest Salmon Fillet,Seafood,48.97,48.97,1,48.97,48.97,0.0,8.0,3.92,,2024-02-03 18:01:50
96,20,TXN-000020,9,17,SKU-00017,ButcherSelect Chicken Breast,Meat,18.3,17.39,1,18.3,17.39,0.91,8.0,1.39,WEEKEND5,2024-02-03 18:01:50
97,21,TXN-000021,1,128,SKU-00128,FarmHouse Milk,Dairy,12.47,12.47,3,37.41,37.41,0.0,8.0,2.99,,2025-02-12 14:25:01
98,21,TXN-000021,2,34,SKU-00034,HappySnacks Potato Chips,Snacks,18.55,18.55,2,37.1,37.1,0.0,8.0,2.97,,2025-02-12 14:25:01
99,21,TXN-000021,3,39,SKU-00039,FrostyFoods Ice Cream,Frozen,2.42,2.42,2,4.84,4.84,0.0,8.0,0.39,,2025-02-12 14:25:01
100,22,TXN-000022,1,77,SKU-00077,GreenFields Bananas,Produce,14.99,14.99,2,29.98,29.98,0.0,8.0,2.4,,2024-05-21 20:34:04
101,22,TXN-000022,2,33,SKU-00033,GoldenLoaf White Bread,Bakery,21.53,21.53,1,21.53,21.53,0.0,8.0,1.72,,2024-05-21 20:34:04
102,23,TXN-000023,1,62,SKU-00062,SparklePro Trash Bags,Household,4.42,4.42,2,8.84,8.84,0.0,8.0,0.71,,2025-04-12 14:16:23
103,23,TXN-000023,2,97,SKU-00097,GreenFields Apples,Produce,5.37,5.37,1,5.37,5.37,0.0,8.0,0.43,,2025-04-12 14:16:23
104,23,TXN-000023,3,27,SKU-00027,GoldenLoaf Muffins,Bakery,39.81,39.81,3,119.43,119.43,0.0,8.0,9.55,,2025-04-12 14:16:23
105,23,TXN-000023,4,130,SKU-00130,ButcherSelect Minced Beef,Meat,41.12,41.12,2,82.24,82.24,0.0,8.0,6.58,,2025-04-12 14:16:23
106,23,TXN-000023,5,89,SKU-00089,GardenFresh Tomatoes,Produce,25.96,25.96,2,51.92,51.92,0.0,8.0,4.15,,2025-04-12 14:16:23
107,23,TXN-000023,6,34,SKU-00034,HappySnacks Potato Chips,Snacks,18.55,14.84,4,74.2,59.36,14.84,8.0,4.75,FLASH20,2025-04-12 14:16:23
108,23,TXN-000023,7,5,SKU-00005,GreenFields Apples,Produce,1.64,1.64,4,6.56,6.56,0.0,8.0,0.52,,2025-04-12 14:16:23
109,23,TXN-000023,8,55,SKU-00055,PrimeChoice Sausages,Meat,45.01,42.76,2,90.02,85.52,4.5,8.0,6.84,WEEKEND5,2025-04-12 14:16:23
110,23,TXN-000023,9,68,SKU-00068,PrimeChoice Chicken Breast,Meat,17.85,15.17,1,17.85,15.17,2.68,8.0,1.21,MEMBER15,2025-04-12 14:16:23
111,24,TXN-000024,1,101,SKU-00101,SparklePro Dishwashing Liquid,Household,24.88,24.88,1,24.88,24.88,0.0,8.0,1.99,,2025-01-21 19:15:42
112,24,TXN-000024,2,56,SKU-00056,SnackTime Biscuits,Snacks,11.4,11.4,3,34.2,34.2,0.0,8.0,2.74,,2025-01-21 19:15:42
113,24,TXN-000024,3,126,SKU-00126,ThirstQuench Orange Juice,Beverages,25.36,25.36,2,50.72,50.72,0.0,8.0,4.06,,2025-01-21 19:15:42
114,24,TXN-000024,4,125,SKU-00125,GreenFields Apples,Produce,9.57,9.57,3,28.71,28.71,0.0,8.0,2.3,,2025-01-21 19:15:42
115,24,TXN-000024,5,124,SKU-00124,SparklePro Dishwashing Liquid,Household,41.98,41.98,2,83.96,83.96,0.0,8.0,6.72,,2025-01-21 19:15:42
116,24,TXN-000024,6,104,SKU-00104,ThirstQuench Apple Juice,Beverages,11.66,11.66,1,11.66,11.66,0.0,8.0,0.93,,2025-01-21 19:15:42
117,24,TXN-000024,7,31,SKU-00031,FrostyFoods Frozen Peas,Frozen,28.96,27.51,3,86.88,82.53,4.35,8.0,6.6,BULK5,2025-01-21 19:15:42
118,25,TXN-000025,1,110,SKU-00110,HarmonyCare Hand Soap,Personal Care,13.61,13.61,2,27.22,27.22,0.0,8.0,2.18,,2025-03-09 14:00:38
119,25,TXN-000025,2,77,SKU-00077,GreenFields Bananas,Produce,14.99,14.99,2,29.98,29.98,0.0,8.0,2.4,,2025-03-09 14:00:38
120,25,TXN-000025,3,79,SKU-00079,CitrusBurst Green Tea,Beverages,10.09,10.09,1,10.09,10.09,0.0,8.0,0.81,,2025-03-09 14:00:38
121,25,TXN-000025,4,132,SKU-00132,FarmHouse Milk,Dairy,27.3,27.3,2,54.6,54.6,0.0,8.0,4.37,,2025-03-09 14:00:38
122,26,TXN-000026,1,87,SKU-00087,DailyBake Muffins,Bakery,1.89,1.89,1,1.89,1.89,0.0,8.0,0.15,,2025-03-09 14:25:11
123,26,TXN-000026,2,135,SKU-00135,CoolSip Orange Juice,Beverages,15.99,15.99,4,63.96,63.96,0.0,8.0,5.12,,2025-03-09 14:25:11
124,26,TXN-000026,3,10,SKU-00010,DailyBake Muffins,Bakery,28.73,28.73,3,86.19,86.19,0.0,8.0,6.9,,2025-03-09 14:25:11
125,26,TXN-000026,4,137,SKU-00137,GoldenLoaf Wholemeal Bread,Bakery,14.84,14.84,3,44.52,44.52,0.0,8.0,3.56,,2025-03-09 14:25:11
126,27,TXN-000027,1,107,SKU-00107,GardenFresh Lettuce,Produce,16.85,16.01,2,33.7,32.02,1.68,8.0,2.56,WEEKEND5,2024-12-22 12:49:15
127,27,TXN-000027,2,50,SKU-00050,GardenFresh Lettuce,Produce,3.43,3.43,1,3.43,3.43,0.0,8.0,0.27,,2024-12-22 12:49:15
128,27,TXN-000027,3,1,SKU-00001,SparklePro Laundry Detergent,Household,7.75,7.75,2,15.5,15.5,0.0,8.0,1.24,,2024-12-22 12:49:15
129,27,TXN-000027,4,82,SKU-00082,CrunchyBite Trail Mix,Snacks,3.36,3.36,5,16.8,16.8,0.0,8.0,1.34,,2024-12-22 12:49:15
130,27,TXN-000027,5,49,SKU-00049,HappySnacks Potato Chips,Snacks,5.85,5.85,2,11.7,11.7,0.0,8.0,0.94,,2024-12-22 12:49:15
131,27,TXN-000027,6,14,SKU-00014,CleanHome Paper Towels,Household,29.38,29.38,1,29.38,29.38,0.0,8.0,2.35,,2024-12-22 12:49:15
132,27,TXN-000027,7,149,SKU-00149,CoolSip Apple Juice,Beverages,4.29,3.86,2,8.58,7.72,0.86,8.0,0.62,PROMO10,2024-12-22 12:49:15
133,28,TXN-000028,1,71,SKU-00071,ButcherSelect Pork Chops,Meat,32.36,32.36,2,64.72,64.72,0.0,8.0,5.18,,2024-04-26 12:26:31
134,28,TXN-000028,2,20,SKU-00020,FarmHouse Yogurt,Dairy,26.18,26.18,2,52.36,52.36,0.0,8.0,4.19,,2024-04-26 12:26:31
135,28,TXN-000028,3,44,SKU-00044,CrunchyBite Potato Chips,Snacks,16.23,16.23,4,64.92,64.92,0.0,8.0,5.19,,2024-04-26 12:26:31
136,28,TXN-000028,4,1,SKU-00001,SparklePro Laundry Detergent,Household,7.75,7.75,1,7.75,7.75,0.0,8.0,0.62,,2024-04-26 12:26:31
137,29,TXN-000029,1,101,SKU-00101,SparklePro Dishwashing Liquid,Household,24.88,24.88,2,49.76,49.76,0.0,8.0,3.98,,2025-03-26 15:20:06
138,29,TXN-000029,2,45,SKU-00045,HappySnacks Potato Chips,Snacks,2.39,2.39,4,9.56,9.56,0.0,8.0,0.76,,2025-03-26 15:20:06
139,29,TXN-000029,3,144,SKU-00144,MeadowFresh Yogurt,Dairy,23.78,23.78,2,47.56,47.56,0.0,8.0,3.8,,2025-03-26 15:20:06
140,29,TXN-000029,4,19,SKU-00019,FarmHouse Butter,Dairy,10.15,10.15,2,20.3,20.3,0.0,8.0,1.62,,2025-03-26 15:20:06
141,29,TXN-000029,5,36,SKU-00036,MeadowFresh Cheese,Dairy,35.49,33.72,1,35.49,33.72,1.77,8.0,2.7,BULK5,2025-03-26 15:20:06
142,29,TXN-000029,6,126,SKU-00126,ThirstQuench Orange Juice,Beverages,25.36,25.36,2,50.72,50.72,0.0,8.0,4.06,,2025-03-26 15:20:06
143,30,TXN-000030,1,51,SKU-00051,GardenFresh Apples,Produce,27.72,27.72,3,83.16,83.16,0.0,8.0,6.65,,2025-01-18 14:12:51
144,30,TXN-000030,2,76,SKU-00076,PrimeChoice Sausages,Meat,52.38,52.38,1,52.38,52.38,0.0,8.0,4.19,,2025-01-18 14:12:51
145,30,TXN-000030,3,52,SKU-00052,SnackTime Potato Chips,Snacks,32.98,32.98,4,131.92,131.92,0.0,8.0,10.55,,2025-01-18 14:12:51
146,30,TXN-000030,4,5,SKU-00005,GreenFields Apples,Produce,1.64,1.56,3,4.92,4.68,0.24,8.0,0.37,WEEKEND5,2025-01-18 14:12:51
147,30,TXN-000030,5,4,SKU-00004,GoldenLoaf Croissant,Bakery,34.9,29.66,3,104.7,88.98,15.72,8.0,7.12,MEMBER15,2025-01-18 14:12:51
148,30,TXN-000030,6,107,SKU-00107,GardenFresh Lettuce,Produce,16.85,16.85,2,33.7,33.7,0.0,8.0,2.7,,2025-01-18 14:12:51
149,31,TXN-000031,1,62,SKU-00062,SparklePro Trash Bags,Household,4.42,4.42,2,8.84,8.84,0.0,8.0,0.71,,2025-04-22 14:46:42
150,31,TXN-000031,2,53,SKU-00053,CitrusBurst Orange Juice,Beverages,18.99,18.04,2,37.98,36.08,1.9,8.0,2.89,BULK5,2025-04-22 14:46:42
151,32,TXN-000032,1,100,SKU-00100,SnackTime Biscuits,Snacks,29.48,28.01,3,88.44,84.03,4.41,8.0,6.72,BULK5,2025-03-24 14:33:28
152,32,TXN-000032,2,14,SKU-00014,CleanHome Paper Towels,Household,29.38,29.38,1,29.38,29.38,0.0,8.0,2.35,,2025-03-24 14:33:28
153,32,TXN-000032,3,149,SKU-00149,CoolSip Apple Juice,Beverages,4.29,4.08,3,12.87,12.24,0.63,8.0,0.98,BULK5,2025-03-24 14:33:28
154,32,TXN-000032,4,48,SKU-00048,SparklePro Laundry Detergent,Household,20.57,20.57,2,41.14,41.14,0.0,8.0,3.29,,2025-03-24 14:33:28
155,32,TXN-000032,5,75,SKU-00075,FrostyFoods Frozen Pizza,Frozen,21.35,21.35,3,64.05,64.05,0.0,8.0,5.12,,2025-03-24 14:33:28
156,32,TXN-000032,6,49,SKU-00049,HappySnacks Potato Chips,Snacks,5.85,5.56,4,23.4,22.24,1.16,8.0,1.78,BULK5,2025-03-24 14:33:28
157,32,TXN-000032,7,62,SKU-00062,SparklePro Trash Bags,Household,4.42,4.42,1,4.42,4.42,0.0,8.0,0.35,,2025-03-24 14:33:28
158,33,TXN-000033,1,97,SKU-00097,GreenFields Apples,Produce,5.37,5.1,4,21.48,20.4,1.08,8.0,1.63,WEEKEND5,2024-06-16 08:45:54
159,33,TXN-000033,2,33,SKU-00033,GoldenLoaf White Bread,Bakery,21.53,21.53,2,43.06,43.06,0.0,8.0,3.44,,2024-06-16 08:45:54
160,33,TXN-000033,3,47,SKU-00047,SeaHarvest Fish Fingers,Seafood,34.55,34.55,2,69.1,69.1,0.0,8.0,5.53,,2024-06-16 08:45:54
161,33,TXN-000033,4,10,SKU-00010,DailyBake Muffins,Bakery,28.73,27.29,3,86.19,81.87,4.32,8.0,6.55,WEEKEND5,2024-06-16 08:45:54
162,33,TXN-000033,5,105,SKU-00105,FrostyFoods Ice Cream,Frozen,16.11,16.11,4,64.44,64.44,0.0,8.0,5.16,,2024-06-16 08:45:54
163,34,TXN-000034,1,75,SKU-00075,FrostyFoods Frozen Pizza,Frozen,21.35,18.15,3,64.05,54.45,9.6,8.0,4.36,MEMBER15,2024-09-21 15:15:31
