inventory_id,product_id,quantity_on_hand,reorder_point,reorder_qty,last_updated_at,,,,,,,,,,
65,65,100,17,51,1/6/2025 0:00,,,,,,,,,,
66,66,2,20,100,1/6/2025 0:00,,,,,,,,,,
67,67,19,14,70,1/6/2025 0:00,,,,,,,,,,
68,68,83,17,68,1/6/2025 0:00,,,,,,,,,,
69,69,109,20,60,1/6/2025 0:00,,,,,,,,,,
70,70,130,41,164,1/6/2025 0:00,,,,,,,,,,
71,71,98,17,34,1/6/2025 0:00,,,,,,,,,,
72,72,46,20,80,1/6/2025 0:00,,,,,,,,,,
73,73,23,14,42,1/6/2025 0:00,,,,,,,,,,
74,74,349,33,132,1/6/2025 0:00,,,,,,,,,,
75,75,87,20,100,1/6/2025 0:00,,,,,,,,,,
76,76,21,17,85,1/6/2025 0:00,,,,,,,,,,
77,77,20,28,84,1/6/2025 0:00,,,,,,,,,,
78,78,35,17,85,1/6/2025 0:00,,,,,,,,,,
79,79,78,33,66,1/6/2025 0:00,,,,,,,,,,
80,80,332,41,205,1/6/2025 0:00,,,,,,,,,,
81,81,197,33,66,1/6/2025 0:00,,,,,,,,,,
82,82,399,41,82,1/6/2025 0:00,,,,,,,,,,
83,83,81,14,42,1/6/2025 0:00,,,,,,,,,,
84,84,61,20,60,1/6/2025 0:00,,,,,,,,,,
85,85,65,16,64,1/6/2025 0:00,,,,,,,,,,
86,86,191,16,64,1/6/2025 0:00,,,,,,,,,,
87,87,37,24,48,1/6/2025 0:00,,,,,,,,,,
88,88,35,14,56,1/6/2025 0:00,,,,,,,,,,
89,89,78,28,56,1/6/2025 0:00,,,,,,,,,,
90,90,66,17,68,1/6/2025 0:00,,,,,,,,,,
91,91,50,17,85,1/6/2025 0:00,,,,,,,,,,
92,92,1,16,48,1/6/2025 0:00,,,,,,,,,,
93,93,29,20,100,1/6/2025 0:00,,,,,,,,,,
94,94,5,16,32,1/6/2025 0:00,,,,,,,,,,
95,95,177,28,112,1/6/2025 0:00,,,,,,,,,,
96,96,141,28,84,1/6/2025 0:00,,,,,,,,,,
97,97,37,28,112,1/6/2025 0:00,,,,,,,,,,
98,98,61,28,112,1/6/2025 0:00,,,,,,,,,,
99,99,200,28,112,1/6/2025 0:00,,,,,,,,,,
100,100,4,41,123,1/6/2025 0:00,,,,,,,,,,
101,101,224,20,60,1/6/2025 0:00,,,,,,,,,,
102,102,107,28,56,1/6/2025 0:00,,,,,,,,,,
103,103,3,20,80,1/6/2025 0:00,,,,,,,,,,
104,104,266,33,99,1/6/2025 0:00,,,,,,,,,,
105,105,63,20,40,1/6/2025 0:00,,,,,,,,,,
106,106,10,33,132,1/6/2025 0:00,,,,,,,,,,
107,107,80,28,84,1/6/2025 0:00,,,,,,,,,,
108,108,0,14,42,1/6/2025 0:00,,,,,,,,,,
109,109,1,17,85,1/6/2025 0:00,,,,,,,,,,
110,110,198,16,80,1/6/2025 0:00,,,,,,,,,,
111,111,2,16,32,1/6/2025 0:00,,,,,,,,,,
112,112,120,20,100,1/6/2025 0:00,,,,,,,,,,
113,113,41,14,70,1/6/2025 0:00,,,,,,,,,,
114,114,138,20,80,1/6/2025 0:00,,,,,,,,,,
115,115,139,24,120,1/6/2025 0:00,,,,,,,,,,
116,116,141,20,80,1/6/2025 0:00,,,,,,,,,,
117,117,90,20,100,1/6/2025 0:00,,,,,,,,,,
118,118,142,28,112,1/6/2025 0:00,,,,,,,,,,
119,119,105,20,40,1/6/2025 0:00,,,,,,,,,,
120,120,69,24,72,1/6/2025 0:00,,,,,,,,,,
121,121,126,28,112,1/6/2025 0:00,,,,,,,,,,
122,122,126,16,48,1/6/2025 0:00,,,,,,,,,,
123,123,217,16,32,1/6/2025 0:00,,,,,,,,,,
124,124,7,20,80,1/6/2025 0:00,,,,,,,,,,
125,125,119,28,84,1/6/2025 0:00,,,,,,,,,,
126,126,179,33,165,1/6/2025 0:00,,,,,,,,,,
127,127,106,16,80,1/6/2025 0:00,,,,,,,,,,
128,128,149,28,84,1/6/2025 0:00,,,,,,,,,,
129,129,53,33,66,1/6/2025 0:00,,,,,,,,,,
130,130,69,17,85,1/6/2025 0:00,,,,,,,,,,
131,131,86,20,80,1/6/2025 0:00,,,,,,,,,,
132,132,113,28,140,1/6/2025 0:00,,,,,,,,,,
133,133,117,24,48,1/6/2025 0:00,,,,,,,,,,
134,134,8,16,64,1/6/2025 0:00,,,,,,,,,,
135,135,1,33,66,1/6/2025 0:00,,,,,,,,,,
136,136,244,28,84,1/6/2025 0:00,,,,,,,,,,
137,137,131,24,48,1/6/2025 0:00,,,,,,,,,,
138,138,99,14,56,1/6/2025 0:00,,,,,,,,,,
139,139,185,28,84,1/6/2025 0:00,,,,,,,,,,
140,140,84,14,56,1/6/2025 0:00,,,,,,,,,,
141,141,416,41,82,1/6/2025 0:00,,,,,,,,,,
142,142,242,28,84,1/6/2025 0:00,,,,,,,,,,
143,143,217,16,32,1/6/2025 0:00,,,,,,,,,,
144,144,40,28,140,1/6/2025 0:00,,,,,,,,,,
145,145,37,28,56,1/6/2025 0:00,,,,,,,,,,
146,146,300,41,205,1/6/2025 0:00,,,,,,,,,,
147,147,7,33,165,1/6/2025 0:00,,,,,,,,,,
148,148,317,41,205,1/6/2025 0:00,,,,,,,,,,
149,149,9,33,132,1/6/2025 0:00,,,,,,,,,,
150,150,1,16,80,1/6/2025 0:00,,,,,,,,,,
