sale_item_id,sale_id,product_id,line_number,base_unit_price,sale_unit_price,quantity,line_base_amount,line_sale_amount,line_discount_amount,tax_rate_pct,tax_amount,promotion_code,created_at
52,10,32,7,44.22,44.22,1,44.22,44.22,0,8,3.54,,8/4/2024 12:39
53,11,80,1,4.51,4.28,5,22.55,21.4,1.15,8,1.71,BULK5,29/10/2024 16:27
54,11,52,2,32.98,32.98,4,131.92,131.92,0,8,10.55,,29/10/2024 16:27
55,11,62,3,4.42,4.42,2,8.84,8.84,0,8,0.71,,29/10/2024 16:27
56,11,38,4,21.83,20.74,2,43.66,41.48,2.18,8,3.32,BULK5,29/10/2024 16:27
57,11,56,5,11.4,10.83,3,34.2,32.49,1.71,8,2.6,BULK5,29/10/2024 16:27
58,11,10,6,28.73,27.29,1,28.73,27.29,1.44,8,2.18,BULK5,29/10/2024 16:27
59,12,9,1,29.63,29.63,1,29.63,29.63,0,8,2.37,,19/3/2024 14:58
60,12,134,2,8.59,8.59,2,17.18,17.18,0,8,1.37,,19/3/2024 14:58
61,12,125,3,9.57,9.57,1,9.57,9.57,0,8,0.77,,19/3/2024 14:58
62,12,43,4,64.95,61.7,1,64.95,61.7,3.25,8,4.94,BULK5,19/3/2024 14:58
63,12,99,5,32.85,32.85,3,98.55,98.55,0,8,7.88,,19/3/2024 14:58
64,12,52,6,32.98,32.98,2,65.96,65.96,0,8,5.28,,19/3/2024 14:58
65,12,19,7,10.15,9.64,3,30.45,28.92,1.53,8,2.31,BULK5,19/3/2024 14:58
66,13,2,1,24.41,24.41,4,97.64,97.64,0,8,7.81,,6/2/2024 21:59
67,13,31,2,28.96,28.96,2,57.92,57.92,0,8,4.63,,6/2/2024 21:59
68,14,91,1,28.49,27.07,1,28.49,27.07,1.42,8,2.17,BULK5,19/3/2024 19:32
69,14,14,2,29.38,27.91,1,29.38,27.91,1.47,8,2.23,BULK5,19/3/2024 19:32
70,14,44,3,16.23,16.23,2,32.46,32.46,0,8,2.6,,19/3/2024 19:32
71,14,148,4,2.22,2.22,4,8.88,8.88,0,8,0.71,,19/3/2024 19:32
72,14,87,5,1.89,1.89,1,1.89,1.89,0,8,0.15,,19/3/2024 19:32
73,14,85,6,29.36,29.36,2,58.72,58.72,0,8,4.7,,19/3/2024 19:32
74,15,67,1,23.9,23.9,3,71.7,71.7,0,8,5.74,,27/1/2025 17:37
75,15,95,2,6.68,6.68,2,13.36,13.36,0,8,1.07,,27/1/2025 17:37
76,16,121,1,7.48,7.48,1,7.48,7.48,0,8,0.6,,9/1/2025 17:14
77,16,86,2,6.05,6.05,1,6.05,6.05,0,8,0.48,,9/1/2025 17:14
78,17,17,1,18.3,18.3,1,18.3,18.3,0,8,1.46,,12/3/2025 12:31
79,17,90,2,22.17,22.17,2,44.34,44.34,0,8,3.55,,12/3/2025 12:31
80,17,32,3,44.22,44.22,1,44.22,44.22,0,8,3.54,,12/3/2025 12:31
81,18,134,1,8.59,8.59,2,17.18,17.18,0,8,1.37,,31/1/2024 18:03
82,18,92,2,4.93,4.68,1,4.93,4.68,0.25,8,0.37,BULK5,31/1/2024 18:03
83,19,94,1,26.41,26.41,2,52.82,52.82,0,8,4.23,,24/4/2025 9:59
84,19,20,2,26.18,26.18,1,26.18,26.18,0,8,2.09,,24/4/2025 9:59
85,19,133,3,21.12,21.12,2,42.24,42.24,0,8,3.38,,24/4/2025 9:59
86,19,111,4,10.39,10.39,1,10.39,10.39,0,8,0.83,,24/4/2025 9:59
87,19,63,5,7.17,7.17,2,14.34,14.34,0,8,1.15,,24/4/2025 9:59
88,20,100,1,29.48,29.48,1,29.48,29.48,0,8,2.36,,3/2/2024 18:01
89,20,82,2,3.36,3.36,1,3.36,3.36,0,8,0.27,,3/2/2024 18:01
90,20,132,3,27.3,25.93,2,54.6,51.86,2.74,8,4.15,WEEKEND5,3/2/2024 18:01
91,20,75,4,21.35,20.28,1,21.35,20.28,1.07,8,1.62,WEEKEND5,3/2/2024 18:01
92,20,142,5,4.02,3.42,2,8.04,6.84,1.2,8,0.55,MEMBER15,3/2/2024 18:01
93,20,55,6,45.01,45.01,1,45.01,45.01,0,8,3.6,,3/2/2024 18:01
94,20,145,7,1.24,1.18,2,2.48,2.36,0.12,8,0.19,WEEKEND5,3/2/2024 18:01
95,20,64,8,48.97,48.97,1,48.97,48.97,0,8,3.92,,3/2/2024 18:01
96,20,17,9,18.3,17.39,1,18.3,17.39,0.91,8,1.39,WEEKEND5,3/2/2024 18:01
97,21,128,1,12.47,12.47,3,37.41,37.41,0,8,2.99,,12/2/2025 14:25
98,21,34,2,18.55,18.55,2,37.1,37.1,0,8,2.97,,12/2/2025 14:25
99,21,39,3,2.42,2.42,2,4.84,4.84,0,8,0.39,,12/2/2025 14:25
100,22,77,1,14.99,14.99,2,29.98,29.98,0,8,2.4,,21/5/2024 20:34
101,22,33,2,21.53,21.53,1,21.53,21.53,0,8,1.72,,21/5/2024 20:34
102,23,62,1,4.42,4.42,2,8.84,8.84,0,8,0.71,,12/4/2025 14:16
103,23,97,2,5.37,5.37,1,5.37,5.37,0,8,0.43,,12/4/2025 14:16
104,23,27,3,39.81,39.81,3,119.43,119.43,0,8,9.55,,12/4/2025 14:16
105,23,130,4,41.12,41.12,2,82.24,82.24,0,8,6.58,,12/4/2025 14:16
106,23,89,5,25.96,25.96,2,51.92,51.92,0,8,4.15,,12/4/2025 14:16
107,23,34,6,18.55,14.84,4,74.2,59.36,14.84,8,4.75,FLASH20,12/4/2025 14:16
108,23,5,7,1.64,1.64,4,6.56,6.56,0,8,0.52,,12/4/2025 14:16
109,23,55,8,45.01,42.76,2,90.02,85.52,4.5,8,6.84,WEEKEND5,12/4/2025 14:16
110,23,68,9,17.85,15.17,1,17.85,15.17,2.68,8,1.21,MEMBER15,12/4/2025 14:16
111,24,101,1,24.88,24.88,1,24.88,24.88,0,8,1.99,,21/1/2025 19:15
112,24,56,2,11.4,11.4,3,34.2,34.2,0,8,2.74,,21/1/2025 19:15
113,24,126,3,25.36,25.36,2,50.72,50.72,0,8,4.06,,21/1/2025 19:15
114,24,125,4,9.57,9.57,3,28.71,28.71,0,8,2.3,,21/1/2025 19:15
115,24,124,5,41.98,41.98,2,83.96,83.96,0,8,6.72,,21/1/2025 19:15
116,24,104,6,11.66,11.66,1,11.66,11.66,0,8,0.93,,21/1/2025 19:15
117,24,31,7,28.96,27.51,3,86.88,82.53,4.35,8,6.6,BULK5,21/1/2025 19:15
118,25,110,1,13.61,13.61,2,27.22,27.22,0,8,2.18,,9/3/2025 14:00
119,25,77,2,14.99,14.99,2,29.98,29.98,0,8,2.4,,9/3/2025 14:00
120,25,79,3,10.09,10.09,1,10.09,10.09,0,8,0.81,,9/3/2025 14:00
121,25,132,4,27.3,27.3,2,54.6,54.6,0,8,4.37,,9/3/2025 14:00
122,26,87,1,1.89,1.89,1,1.89,1.89,0,8,0.15,,9/3/2025 14:25
123,26,135,2,15.99,15.99,4,63.96,63.96,0,8,5.12,,9/3/2025 14:25
124,26,10,3,28.73,28.73,3,86.19,86.19,0,8,6.9,,9/3/2025 14:25
125,26,137,4,14.84,14.84,3,44.52,44.52,0,8,3.56,,9/3/2025 14:25
126,27,107,1,16.85,16.01,2,33.7,32.02,1.68,8,2.56,WEEKEND5,22/12/2024 12:49
127,27,50,2,3.43,3.43,1,3.43,3.43,0,8,0.27,,22/12/2024 12:49
128,27,1,3,7.75,7.75,2,15.5,15.5,0,8,1.24,,22/12/2024 12:49
129,27,82,4,3.36,3.36,5,16.8,16.8,0,8,1.34,,22/12/2024 12:49
130,27,49,5,5.85,5.85,2,11.7,11.7,0,8,0.94,,22/12/2024 12:49
131,27,14,6,29.38,29.38,1,29.38,29.38,0,8,2.35,,22/12/2024 12:49
132,27,149,7,4.29,3.86,2,8.58,7.72,0.86,8,0.62,PROMO10,22/12/2024 12:49
133,28,71,1,32.36,32.36,2,64.72,64.72,0,8,5.18,,26/4/2024 12:26
134,28,20,2,26.18,26.18,2,52.36,52.36,0,8,4.19,,26/4/2024 12:26
135,28,44,3,16.23,16.23,4,64.92,64.92,0,8,5.19,,26/4/2024 12:26
136,28,1,4,7.75,7.75,1,7.75,7.75,0,8,0.62,,26/4/2024 12:26
137,29,101,1,24.88,24.88,2,49.76,49.76,0,8,3.98,,26/3/2025 15:20
138,29,45,2,2.39,2.39,4,9.56,9.56,0,8,0.76,,26/3/2025 15:20
139,29,144,3,23.78,23.78,2,47.56,47.56,0,8,3.8,,26/3/2025 15:20
140,29,19,4,10.15,10.15,2,20.3,20.3,0,8,1.62,,26/3/2025 15:20
141,29,36,5,35.49,33.72,1,35.49,33.72,1.77,8,2.7,BULK5,26/3/2025 15:20
142,29,126,6,25.36,25.36,2,50.72,50.72,0,8,4.06,,26/3/2025 15:20
143,30,51,1,27.72,27.72,3,83.16,83.16,0,8,6.65,,18/1/2025 14:12
144,30,76,2,52.38,52.38,1,52.38,52.38,0,8,4.19,,18/1/2025 14:12
145,30,52,3,32.98,32.98,4,131.92,131.92,0,8,10.55,,18/1/2025 14:12
146,30,5,4,1.64,1.56,3,4.92,4.68,0.24,8,0.37,WEEKEND5,18/1/2025 14:12
147,30,4,5,34.9,29.66,3,104.7,88.98,15.72,8,7.12,MEMBER15,18/1/2025 14:12
148,30,107,6,16.85,16.85,2,33.7,33.7,0,8,2.7,,18/1/2025 14:12
149,31,62,1,4.42,4.42,2,8.84,8.84,0,8,0.71,,22/4/2025 14:46
150,31,53,2,18.99,18.04,2,37.98,36.08,1.9,8,2.89,BULK5,22/4/2025 14:46
151,32,100,1,29.48,28.01,3,88.44,84.03,4.41,8,6.72,BULK5,24/3/2025 14:33
152,32,14,2,29.38,29.38,1,29.38,29.38,0,8,2.35,,24/3/2025 14:33
153,32,149,3,4.29,4.08,3,12.87,12.24,0.63,8,0.98,BULK5,24/3/2025 14:33
154,32,48,4,20.57,20.57,2,41.14,41.14,0,8,3.29,,24/3/2025 14:33
155,32,75,5,21.35,21.35,3,64.05,64.05,0,8,5.12,,24/3/2025 14:33
156,32,49,6,5.85,5.56,4,23.4,22.24,1.16,8,1.78,BULK5,24/3/2025 14:33
157,32,62,7,4.42,4.42,1,4.42,4.42,0,8,0.35,,24/3/2025 14:33
158,33,97,1,5.37,5.1,4,21.48,20.4,1.08,8,1.63,WEEKEND5,16/6/2024 8:45
159,33,33,2,21.53,21.53,2,43.06,43.06,0,8,3.44,,16/6/2024 8:45
160,33,47,3,34.55,34.55,2,69.1,69.1,0,8,5.53,,16/6/2024 8:45
161,33,10,4,28.73,27.29,3,86.19,81.87,4.32,8,6.55,WEEKEND5,16/6/2024 8:45
162,33,105,5,16.11,16.11,4,64.44,64.44,0,8,5.16,,16/6/2024 8:45
163,34,75,1,21.35,18.15,3,64.05,54.45,9.6,8,4.36,MEMBER15,21/9/2024 15:15
164,34,51,2,27.72,27.72,3,83.16,83.16,0,8,6.65,,21/9/2024 15:15
165,34,18,3,9.35,9.35,1,9.35,9.35,0,8,0.75,,21/9/2024 15:15
166,34,92,4,4.93,4.68,1,4.93,4.68,0.25,8,0.37,WEEKEND5,21/9/2024 15:15
167,34,38,5,21.83,21.83,3,65.49,65.49,0,8,5.24,,21/9/2024 15:15
168,34,44,6,16.23,14.61,4,64.92,58.44,6.48,8,4.68,PROMO10,21/9/2024 15:15
169,34,6,7,26.17,24.86,1,26.17,24.86,1.31,8,1.99,WEEKEND5,21/9/2024 15:15
170,34,135,8,15.99,15.99,3,47.97,47.97,0,8,3.84,,21/9/2024 15:15
171,34,63,9,7.17,6.81,2,14.34,13.62,0.72,8,1.09,WEEKEND5,21/9/2024 15:15
172,35,110,1,13.61,13.61,2,27.22,27.22,0,8,2.18,,26/3/2024 19:50
173,35,17,2,18.3,18.3,2,36.6,36.6,0,8,2.93,,26/3/2024 19:50
174,35,79,3,10.09,10.09,4,40.36,40.36,0,8,3.23,,26/3/2024 19:50
175,35,5,4,1.64,1.64,1,1.64,1.64,0,8,0.13,,26/3/2024 19:50
176,36,128,1,12.47,12.47,3,37.41,37.41,0,8,2.99,,9/4/2025 13:48
177,36,20,2,26.18,26.18,3,78.54,78.54,0,8,6.28,,9/4/2025 13:48
178,36,102,3,3.07,3.07,3,9.21,9.21,0,8,0.74,,9/4/2025 13:48
179,36,118,4,13.27,12.61,1,13.27,12.61,0.66,8,1.01,BULK5,9/4/2025 13:48
180,37,51,1,27.72,27.72,3,83.16,83.16,0,8,6.65,,6/12/2024 22:01
181,37,50,2,3.43,3.43,4,13.72,13.72,0,8,1.1,,6/12/2024 22:01
182,37,53,3,18.99,18.99,4,75.96,75.96,0,8,6.08,,6/12/2024 22:01
183,37,19,4,10.15,10.15,3,30.45,30.45,0,8,2.44,,6/12/2024 22:01
184,38,15,1,25.44,21.62,1,25.44,21.62,3.82,8,1.73,MEMBER15,7/7/2024 12:06
185,38,44,2,16.23,14.61,3,48.69,43.83,4.86,8,3.51,PROMO10,7/7/2024 12:06
186,38,150,3,36.65,34.82,1,36.65,34.82,1.83,8,2.79,WEEKEND5,7/7/2024 12:06
187,38,18,4,9.35,7.95,2,18.7,15.9,2.8,8,1.27,MEMBER15,7/7/2024 12:06
188,38,55,5,45.01,45.01,1,45.01,45.01,0,8,3.6,,7/7/2024 12:06
189,38,53,6,18.99,18.04,3,56.97,54.12,2.85,8,4.33,WEEKEND5,7/7/2024 12:06
190,39,133,1,21.12,21.12,2,42.24,42.24,0,8,3.38,,10/1/2024 13:52
191,39,76,2,52.38,52.38,1,52.38,52.38,0,8,4.19,,10/1/2024 13:52
192,39,2,3,24.41,24.41,2,48.82,48.82,0,8,3.91,,10/1/2024 13:52
193,39,101,4,24.88,24.88,1,24.88,24.88,0,8,1.99,,10/1/2024 13:52
194,39,23,5,16.85,16.85,1,16.85,16.85,0,8,1.35,,10/1/2024 13:52
195,40,35,1,31.36,29.79,1,31.36,29.79,1.57,8,2.38,BULK5,31/1/2024 11:19
196,40,31,2,28.96,28.96,3,86.88,86.88,0,8,6.95,,31/1/2024 11:19
197,40,46,3,43.06,43.06,1,43.06,43.06,0,8,3.44,,31/1/2024 11:19
198,40,50,4,3.43,3.43,2,6.86,6.86,0,8,0.55,,31/1/2024 11:19
199,41,21,1,41.36,41.36,1,41.36,41.36,0,8,3.31,,3/7/2024 15:16
200,41,5,2,1.64,1.64,3,4.92,4.92,0,8,0.39,,3/7/2024 15:16
201,41,11,3,14.55,13.82,2,29.1,27.64,1.46,8,2.21,BULK5,3/7/2024 15:16
202,41,10,4,28.73,28.73,2,57.46,57.46,0,8,4.6,,3/7/2024 15:16
203,41,34,5,18.55,18.55,5,92.75,92.75,0,8,7.42,,3/7/2024 15:16
204,42,105,1,16.11,16.11,2,32.22,32.22,0,8,2.58,,17/2/2025 18:00
205,42,125,2,9.57,9.57,3,28.71,28.71,0,8,2.3,,17/2/2025 18:00
206,42,24,3,19.13,18.17,4,76.52,72.68,3.84,8,5.81,BULK5,17/2/2025 18:00
207,42,103,4,31.2,31.2,1,31.2,31.2,0,8,2.5,,17/2/2025 18:00
208,43,87,1,1.89,1.89,1,1.89,1.89,0,8,0.15,,23/5/2024 14:39
209,43,121,2,7.48,7.48,3,22.44,22.44,0,8,1.8,,23/5/2024 14:39
210,43,129,3,30.45,30.45,3,91.35,91.35,0,8,7.31,,23/5/2024 14:39
211,43,97,4,5.37,5.37,3,16.11,16.11,0,8,1.29,,23/5/2024 14:39
212,44,1,1,7.75,7.75,1,7.75,7.75,0,8,0.62,,3/1/2024 11:35
213,44,47,2,34.55,34.55,3,103.65,103.65,0,8,8.29,,3/1/2024 11:35
214,45,100,1,29.48,28.01,1,29.48,28.01,1.47,8,2.24,BULK5,28/1/2025 17:39
215,45,49,2,5.85,5.85,4,23.4,23.4,0,8,1.87,,28/1/2025 17:39
216,45,102,3,3.07,3.07,3,9.21,9.21,0,8,0.74,,28/1/2025 17:39
217,45,77,4,14.99,14.99,4,59.96,59.96,0,8,4.8,,28/1/2025 17:39
218,45,98,5,28.67,27.24,3,86.01,81.72,4.29,8,6.54,BULK5,28/1/2025 17:39
219,45,16,6,9.2,9.2,3,27.6,27.6,0,8,2.21,,28/1/2025 17:39
220,45,38,7,21.83,21.83,2,43.66,43.66,0,8,3.49,,28/1/2025 17:39
221,46,45,1,2.39,2.15,4,9.56,8.6,0.96,8,0.69,PROMO10,25/5/2025 19:34
222,46,97,2,5.37,4.56,3,16.11,13.68,2.43,8,1.09,MEMBER15,25/5/2025 19:34
223,46,37,3,50.04,50.04,2,100.08,100.08,0,8,8.01,,25/5/2025 19:34
224,46,24,4,19.13,15.3,3,57.39,45.9,11.49,8,3.67,FLASH20,25/5/2025 19:34
225,46,25,5,16.72,16.72,2,33.44,33.44,0,8,2.68,,25/5/2025 19:34
226,46,75,6,21.35,20.28,3,64.05,60.84,3.21,8,4.87,WEEKEND5,25/5/2025 19:34
227,46,128,7,12.47,11.85,3,37.41,35.55,1.86,8,2.84,WEEKEND5,25/5/2025 19:34
228,46,137,8,14.84,14.84,1,14.84,14.84,0,8,1.19,,25/5/2025 19:34
229,46,54,9,33.21,33.21,1,33.21,33.21,0,8,2.66,,25/5/2025 19:34
230,47,7,1,42.84,40.7,4,171.36,162.8,8.56,8,13.02,BULK5,13/11/2024 19:16
231,47,50,2,3.43,3.43,2,6.86,6.86,0,8,0.55,,13/11/2024 19:16
232,47,136,3,12.07,12.07,2,24.14,24.14,0,8,1.93,,13/11/2024 19:16
233,47,36,4,35.49,35.49,3,106.47,106.47,0,8,8.52,,13/11/2024 19:16
234,47,129,5,30.45,30.45,1,30.45,30.45,0,8,2.44,,13/11/2024 19:16
235,47,18,6,9.35,9.35,1,9.35,9.35,0,8,0.75,,13/11/2024 19:16
236,48,80,1,4.51,4.51,1,4.51,4.51,0,8,0.36,,27/3/2024 15:37
237,48,21,2,41.36,39.29,1,41.36,39.29,2.07,8,3.14,BULK5,27/3/2024 15:37
238,48,33,3,21.53,21.53,1,21.53,21.53,0,8,1.72,,27/3/2024 15:37
239,48,129,4,30.45,30.45,2,60.9,60.9,0,8,4.87,,27/3/2024 15:37
240,48,126,5,25.36,25.36,4,101.44,101.44,0,8,8.12,,27/3/2024 15:37
241,48,19,6,10.15,10.15,2,20.3,20.3,0,8,1.62,,27/3/2024 15:37
242,49,131,1,10.99,10.44,1,10.99,10.44,0.55,8,0.84,WEEKEND5,17/2/2024 9:05
243,49,41,2,20.31,20.31,1,20.31,20.31,0,8,1.62,,17/2/2024 9:05
244,49,60,3,56.7,53.87,1,56.7,53.87,2.83,8,4.31,WEEKEND5,17/2/2024 9:05
245,49,97,4,5.37,5.37,1,5.37,5.37,0,8,0.43,,17/2/2024 9:05
246,49,10,5,28.73,28.73,1,28.73,28.73,0,8,2.3,,17/2/2024 9:05
247,49,91,6,28.49,28.49,1,28.49,28.49,0,8,2.28,,17/2/2024 9:05
248,50,106,1,5.43,5.43,1,5.43,5.43,0,8,0.43,,24/5/2024 22:29
249,50,125,2,9.57,9.57,1,9.57,9.57,0,8,0.77,,24/5/2024 22:29
250,50,121,3,7.48,7.11,1,7.48,7.11,0.37,8,0.57,BULK5,24/5/2024 22:29
251,50,30,4,11.93,11.93,3,35.79,35.79,0,8,2.86,,24/5/2024 22:29
252,51,14,1,29.38,29.38,2,58.76,58.76,0,8,4.7,,11/7/2024 15:24
253,51,104,2,11.66,11.08,4,46.64,44.32,2.32,8,3.55,BULK5,11/7/2024 15:24
254,51,11,3,14.55,14.55,2,29.1,29.1,0,8,2.33,,11/7/2024 15:24
255,51,52,4,32.98,32.98,3,98.94,98.94,0,8,7.92,,11/7/2024 15:24
256,52,77,1,14.99,14.99,4,59.96,59.96,0,8,4.8,,11/6/2024 10:20
257,52,35,2,31.36,31.36,2,62.72,62.72,0,8,5.02,,11/6/2024 10:20
258,52,2,3,24.41,24.41,1,24.41,24.41,0,8,1.95,,11/6/2024 10:20
259,53,8,1,18.08,18.08,1,18.08,18.08,0,8,1.45,,19/4/2024 15:38
260,53,82,2,3.36,3.36,2,6.72,6.72,0,8,0.54,,19/4/2024 15:38
261,53,50,3,3.43,3.43,1,3.43,3.43,0,8,0.27,,19/4/2024 15:38
262,53,35,4,31.36,31.36,2,62.72,62.72,0,8,5.02,,19/4/2024 15:38
263,53,100,5,29.48,29.48,2,58.96,58.96,0,8,4.72,,19/4/2024 15:38
264,54,106,1,5.43,5.43,4,21.72,21.72,0,8,1.74,,13/6/2024 13:01
265,54,52,2,32.98,32.98,2,65.96,65.96,0,8,5.28,,13/6/2024 13:01
266,55,72,1,34.87,34.87,4,139.48,139.48,0,8,11.16,,12/7/2024 17:35
267,55,17,2,18.3,17.39,2,36.6,34.78,1.82,8,2.78,BULK5,12/7/2024 17:35
268,56,55,1,45.01,42.76,1,45.01,42.76,2.25,8,3.42,BULK5,30/5/2025 18:57
269,56,112,2,26.45,25.13,1,26.45,25.13,1.32,8,2.01,BULK5,30/5/2025 18:57
270,57,9,1,29.63,29.63,1,29.63,29.63,0,8,2.37,,27/3/2024 9:58
271,57,43,2,64.95,64.95,1,64.95,64.95,0,8,5.2,,27/3/2024 9:58
272,57,75,3,21.35,21.35,1,21.35,21.35,0,8,1.71,,27/3/2024 9:58
273,57,56,4,11.4,11.4,4,45.6,45.6,0,8,3.65,,27/3/2024 9:58
274,57,24,5,19.13,19.13,4,76.52,76.52,0,8,6.12,,27/3/2024 9:58
275,57,25,6,16.72,16.72,1,16.72,16.72,0,8,1.34,,27/3/2024 9:58
276,57,136,7,12.07,12.07,3,36.21,36.21,0,8,2.9,,27/3/2024 9:58
277,58,56,1,11.4,11.4,2,22.8,22.8,0,8,1.82,,6/9/2024 9:19
278,58,134,2,8.59,8.59,1,8.59,8.59,0,8,0.69,,6/9/2024 9:19
279,58,91,3,28.49,27.07,1,28.49,27.07,1.42,8,2.17,BULK5,6/9/2024 9:19
280,58,20,4,26.18,26.18,3,78.54,78.54,0,8,6.28,,6/9/2024 9:19
281,58,112,5,26.45,26.45,1,26.45,26.45,0,8,2.12,,6/9/2024 9:19
282,58,65,6,33.12,33.12,2,66.24,66.24,0,8,5.3,,6/9/2024 9:19
283,59,32,1,44.22,44.22,1,44.22,44.22,0,8,3.54,,30/5/2024 15:18
284,59,41,2,20.31,20.31,1,20.31,20.31,0,8,1.62,,30/5/2024 15:18
285,59,92,3,4.93,4.68,1,4.93,4.68,0.25,8,0.37,BULK5,30/5/2024 15:18
286,60,63,1,7.17,7.17,1,7.17,7.17,0,8,0.57,,8/2/2024 17:37
287,60,126,2,25.36,25.36,1,25.36,25.36,0,8,2.03,,8/2/2024 17:37
288,60,43,3,64.95,64.95,1,64.95,64.95,0,8,5.2,,8/2/2024 17:37
289,60,80,4,4.51,4.28,4,18.04,17.12,0.92,8,1.37,BULK5,8/2/2024 17:37
